            Failo sugeneravimo Laikas (ms.)
;                   Studentai 1k; Studentai10k; Studentai100k; Studentai1m; Studentai10m ;;;;;
Testavimas nr. 1;              2;            25;          201;        1982;         20648;;;;;
Testavimas nr. 2;              2;            27;          189;        1855;         20223;;;;;
Testavimas nr. 3;              2;            37;          203;        1831;         19736;;;;;
Testavimas nr. 4;              2;            28;          184;        1871;         19394;;;;;
Testavimas nr. 5;              6;            30;          206;        1812;         19495;;;;;
Vidurkis;                      2.8;          29.4;        196.6;      1870;         19899;;;;;
